,Routes,Path,Signal_power (W),Noise_power (W),Latency (s),SNR (dB)
86,B->C,BFEDC,0.001,7.013597311630399e-06,0.008935049069740601,21.54059172922338
87,B->D,BACD,0.001,2.7234519879700084e-06,0.005942250835824648,25.648802765478106
88,B->D,BACED,0.001,5.813689157326961e-06,0.007811185427524999,22.355481925288778
89,B->D,BACEFD,0.001,1.2493245175548163e-05,0.010952133789248931,19.033247370643316
90,B->D,BAD,0.001,1.0878954364797431e-06,0.0036717102294323454,29.634128450258462
91,B->D,BD,0.001,4.1231056256176617e-07,0.00206155281280883,33.84775539310863
92,B->D,BFD,0.001,1.2449128583270862e-06,0.004088563355306047,29.048610473411003
93,B->D,BFECAD,0.001,1.4526615262712024e-05,0.01127174863010126,18.378355656033687
94,B->D,BFECD,0.001,6.959126782230556e-06,0.008798872746240992,21.574452514024443
95,B->D,BFED,0.001,3.3265210920420002e-06,0.007132273432008606,24.780097185343564
96,B->E,BACDE,0.001,5.827692631233213e-06,0.007846194112290625,22.345033622005275
97,B->E,BACDFE,0.001,1.229329876331335e-05,0.010987142474014557,19.10331563617086
98,B->E,BACE,0.001,2.716450251016883e-06,0.005907242151059022,25.659982442126967
99,B->E,BADCE,0.001,5.426245391605044e-06,0.007242252820130708,22.655005699901658
100,B->E,BADE,0.001,2.5565795282526814e-06,0.005575653505898322,25.923406930042987
101,B->E,BADFE,0.001,5.751072557352287e-06,0.008716601867622254,22.40251153171021
102,B->E,BDACE,0.001,6.1238758103106985e-06,0.008104971287367459,22.129736251984102
103,B->E,BDCE,0.001,2.7239058959331366e-06,0.005632095403507193,25.64807900277209
104,B->E,BDE,0.001,1.2054097804167278e-06,0.003965496089274807,29.18865289088628
105,B->E,BDFE,0.001,3.0487330616803793e-06,0.00710644445099874,25.158805995487924
106,B->E,BFDACE,0.001,1.278469417643326e-05,0.010131981829864675,18.933096563021763
107,B->E,BFDCE,0.001,6.054315078994417e-06,0.00765910594600441,22.17934981214276
108,B->E,BFDE,0.001,2.870614371947368e-06,0.0059925066317720235,25.420251451502697
109,B->E,BFE,0.001,1.4728662183744025e-06,0.005228330155542629,28.318366986837503
110,B->F,BACDEF,0.001,1.2273851106309076e-05,0.010938523331503872,19.110191494324493
111,B->F,BACDF,0.001,5.83741645973535e-06,0.00789481325480131,22.337793216439152
112,B->F,BACEDF,0.001,1.2017890798449255e-05,0.009763747846501662,19.201717465572923
113,B->F,BACEF,0.001,6.051366345876415e-06,0.008999571370272267,22.181465543595017
114,B->F,BADCEF,0.001,1.1470956627052737e-05,0.010334582039343954,19.404003623492912
115,B->F,BADEF,0.001,5.7316249003480115e-06,0.008667982725111567,22.417222392515647
116,B->F,BADF,0.001,2.5663033567548192e-06,0.005624272648409009,25.90692007985386
117,B->F,BDACEF,0.001,1.2866217464464047e-05,0.011197300506580705,18.905491124398786
118,B->F,BDCEF,0.001,6.066277635708922e-06,0.00872442462272044,22.170777171877152
119,B->F,BDEF,0.001,3.0292854046761046e-06,0.007057825308488053,25.18659807605808
120,B->F,BDF,0.001,1.2151336089188651e-06,0.004014115231785494,29.153759669825394
121,B->F,BF,0.001,4.2720018726587666e-07,0.002136000936329383,33.69368565603753
122,C->A,CA,0.001,4.74341649025257e-07,0.0023717082451262844,33.23908740944319
123,C->A,CDA,0.001,1.1018989103859934e-06,0.0037067189141979716,29.578582463874298
124,C->A,CDBA,0.001,2.620395025902402e-06,0.005632095403507193,25.81633233627668
125,C->A,CDEFBA,0.001,1.249700842358357e-05,0.010702816022706969,19.03193937441856
126,C->A,CDFBA,0.001,5.65444472067755e-06,0.00765910594600441,22.476100373497086
127,C->A,CEDA,0.001,2.5565795282526814e-06,0.005575653505898322,25.923406930042987
128,C->A,CEDBA,0.001,5.529756261635778e-06,0.007501029995207544,22.57294010930288
129,C->A,CEDFBA,0.001,1.1473167192144305e-05,0.00952804053770476,19.403166776349224
130,C->A,CEFBA,0.001,6.510244265241814e-06,0.008763864061475366,21.86402716338645
131,C->A,CEFBDA,0.001,1.3518791529713808e-05,0.010961593197783804,18.690621290625778
132,C->A,CEFDA,0.001,6.464104123000648e-06,0.008716601867622254,21.89491656614593
133,C->A,CEFDBA,0.001,1.3344805451131711e-05,0.010641978356931477,18.74687753245214
134,C->B,CAB,0.001,1.302236688643788e-06,0.0041394751980926535,28.85310073195012
135,C->B,CADB,0.001,3.071254469249185e-06,0.006337204334401092,25.12684198531774
136,C->B,CADEFB,0.001,1.3823062122873631e-05,0.011407924953600867,18.59395740192024
137,C->B,CADFB,0.001,6.52611296823138e-06,0.00836421487689831,21.8534541276468
138,C->B,CDAB,0.001,2.5573512113652605e-06,0.00547448586716434,25.922096244634133
139,C->B,CDB,0.001,1.1334208176545642e-06,0.0038643284505408245,29.4560881489068
140,C->B,CDEFB,0.001,6.0717275164951485e-06,0.0089350490697406,22.16687726693913
141,C->B,CDFB,0.001,2.6504456650421382e-06,0.005891338993038041,25.766810945178218
142,C->B,CEDAB,0.001,5.466712447098637e-06,0.007343420458864691,22.622737697014035
143,C->B,CEDB,0.001,2.5881014355212523e-06,0.0057332630422411756,25.870187063557886
144,C->B,CEDFB,0.001,5.559806900775515e-06,0.007760273584738392,22.5494029176038
145,C->B,CEFB,0.001,3.0783454373242703e-06,0.006996097108508997,25.116826473030756
146,C->B,CEFDAB,0.001,1.328176163659457e-05,0.010484368820588622,18.767443181673883
147,C->B,CEFDB,0.001,6.495626030269218e-06,0.008874211403965108,21.873789864863472
148,C->D,CABD,0.001,3.016783939849342e-06,0.006201028010901484,25.204557926063394
149,C->D,CABFD,0.001,6.453859612902238e-06,0.0082280385533987,21.901804857875522
150,C->D,CABFED,0.001,1.3744414601192302e-05,0.01127174863010126,18.61873752792938
151,C->D,CAD,0.001,1.3294719533437094e-06,0.004275651521592262,28.76320820150046
152,C->D,CD,0.001,3.60555127546399e-07,0.0018027756377319946,34.43028323846582
153,C->D,CED,0.001,1.0878954364797431e-06,0.0036717102294323454,29.634128450258462
154,C->D,CEFBAD,0.001,1.3401277185776823e-05,0.010667807337941343,18.728538099707713
155,C->D,CEFBD,0.001,6.5690014372103066e-06,0.009057649921317827,21.825006431143642
156,C->D,CEFD,0.001,3.041657733853726e-06,0.006812658591156278,25.168896570356644
157,C->E,CABDE,0.001,6.41435653499188e-06,0.00810497128736746,21.928469039529226
158,C->E,CABDFE,0.001,1.3466626570830684e-05,0.011245919649091394,18.70741182685263
159,C->E,CABFDE,0.001,1.328850788109767e-05,0.010131981829864677,18.765237816897834
160,C->E,CABFE,0.001,6.681812972949554e-06,0.009367805353635282,21.75105684632147
161,C->E,CADBFE,0.001,1.3757884095371141e-05,0.01156553448994372,18.61448353626988
162,C->E,CADE,0.001,3.039732561980614e-06,0.0061795947980582385,25.17164624274557
163,C->E,CADFE,0.001,6.717378624808152e-06,0.00932054315978217,21.728001720183194
164,C->E,CDABFE,0.001,1.1702271063835444e-05,0.010702816022706969,19.31729846392404
165,C->E,CDBFE,0.001,6.006549488992659e-06,0.009092658606083453,22.213749403485835
166,C->E,CDE,0.001,1.1018989103859934e-06,0.0037067189141979716,29.578582463874298
167,C->E,CDFE,0.001,2.8417113216189106e-06,0.006847667275921903,25.46420042452086
168,C->E,CE,0.001,3.535533905932738e-07,0.0017677669529663686,34.51544993495971
169,C->F,CABDEF,0.001,1.344717891382641e-05,0.011197300506580707,18.713688168262404
170,C->F,CABDF,0.001,6.424080363494017e-06,0.008153590429878147,21.921890347898216
171,C->F,CABF,0.001,3.0316735645534525e-06,0.006275476134422036,25.18317563180272
172,C->F,CADBF,0.001,6.569709125764246e-06,0.008473205270730474,21.82453858426825
173,C->F,CADEF,0.001,6.697930967803877e-06,0.009271924017271484,21.740593328272574
174,C->F,CADF,0.001,3.049456390482752e-06,0.0062282139405689255,25.157775729992203
175,C->F,CDABF,0.001,5.541902609996398e-06,0.007610486803493723,22.563411105120682
176,C->F,CDBF,0.001,2.694041822575005e-06,0.006000329386870207,25.695956665296777
177,C->F,CDEF,0.001,2.822263664614636e-06,0.006799048133411217,25.494024155504192
178,C->F,CDF,0.001,1.1116227388881308e-06,0.003755338056708658,29.540425780581813
179,C->F,CEDABF,0.001,1.1360625081463149e-05,0.009479421395194074,19.445977723255556
180,C->F,CEDBF,0.001,5.603403058308381e-06,0.00786926397857056,22.515481371784336
181,C->F,CEDF,0.001,2.5663033567548192e-06,0.005624272648409009,25.90692007985386
182,C->F,CEF,0.001,1.3255726250291968e-06,0.004860096172179614,28.775964732983766
183,D->A,DA,0.001,3.807886552931955e-07,0.001903943276465977,34.193159988825116
184,D->A,DBA,0.001,1.1781745157168063e-06,0.0038293197657751988,29.28790375423879
185,D->A,DBFECA,0.001,1.3669882304697672e-05,0.011429358166444113,18.642352246158197
186,D->A,DCA,0.001,1.195451904118055e-06,0.004174483882858279,29.22467891899781
