,Path,1,2,3,4,5,6,7,8,9,10
151,CAD,0,0,0,0,0,1,1,1,1,1
152,CD,0,1,1,1,1,1,1,1,1,1
153,CED,0,0,0,0,0,0,1,1,1,1
154,CEFBAD,0,0,0,0,0,0,0,1,1,1
155,CEFBD,0,0,0,0,0,0,0,1,1,1
156,CEFD,0,0,0,0,0,0,0,1,1,1
157,CABDE,0,0,0,0,0,0,0,0,0,0
158,CABDFE,0,0,0,0,0,0,0,0,1,1
159,CABFDE,0,0,0,0,0,0,0,0,0,0
160,CABFE,0,0,0,0,0,1,1,1,1,1
161,CADBFE,0,0,0,0,0,0,0,0,0,0
162,CADE,0,0,0,0,0,0,0,0,0,0
163,CADFE,0,0,0,0,0,0,0,0,1,1
164,CDABFE,0,0,0,0,0,0,0,0,0,1
165,CDBFE,0,0,0,0,0,0,0,0,0,0
166,CDE,0,0,0,0,0,0,0,0,0,0
167,CDFE,0,0,0,0,0,0,0,0,1,1
168,CE,0,0,1,1,1,1,1,1,1,1
169,CABDEF,0,0,0,0,0,0,0,0,0,0
170,CABDF,0,0,0,0,0,0,0,0,1,1
171,CABF,0,0,0,0,0,1,1,1,1,1
172,CADBF,0,0,0,0,0,0,0,0,0,0
173,CADEF,0,0,0,0,0,0,0,0,0,0
174,CADF,0,0,0,0,0,0,0,0,1,1
175,CDABF,0,0,0,0,0,0,0,0,0,1
176,CDBF,0,0,0,0,0,0,0,0,0,0
177,CDEF,0,0,0,0,0,0,0,0,0,0
178,CDF,0,0,0,0,0,0,0,0,1,1
179,CEDABF,0,0,0,0,0,0,0,0,0,1
180,CEDBF,0,0,0,0,0,0,0,0,0,0
181,CEDF,0,0,0,0,0,0,0,0,1,1
182,CEF,0,0,0,0,0,0,0,1,1,1
183,DA,0,0,0,0,0,0,0,0,0,1
184,DBA,0,0,0,0,0,0,0,0,0,0
185,DBFECA,0,0,0,0,0,0,0,0,0,0
186,DCA,0,0,0,0,0,0,0,0,0,0
187,DCEFBA,0,0,0,0,0,0,0,0,0,0
188,DECA,0,0,0,0,0,0,0,0,0,0
189,DEFBA,0,0,0,0,0,0,0,0,0,0
190,DFBA,0,0,0,0,0,0,0,0,1,1
191,DFECA,0,0,0,0,0,0,0,0,1,1
192,DAB,0,0,0,0,0,0,0,0,0,1
193,DACEFB,0,0,0,0,0,0,0,0,0,1
194,DB,0,0,0,0,0,0,0,0,0,0
195,DCAB,0,0,0,0,0,0,0,0,0,0
196,DCEFB,0,0,0,0,0,0,0,0,0,0
197,DECAB,0,0,0,0,0,0,0,0,0,0
198,DEFB,0,0,0,0,0,0,0,0,0,0
199,DFB,0,0,0,0,0,0,0,0,1,1
200,DFECAB,0,0,0,0,0,0,0,0,1,1
201,DABFEC,0,0,0,0,0,0,0,0,0,1
202,DAC,0,0,0,0,0,0,0,0,0,1
203,DBAC,0,0,0,0,0,0,0,0,0,0
204,DBFEC,0,0,0,0,0,0,0,0,0,0
205,DC,0,0,0,0,0,0,0,0,0,0
206,DEC,0,0,0,0,0,0,0,0,0,0
207,DEFBAC,0,0,0,0,0,0,0,0,0,0
208,DFBAC,0,0,0,0,0,0,0,0,1,1
209,DFEC,0,0,0,0,0,0,0,0,1,1
210,DABFE,0,0,0,0,0,0,0,0,0,1
211,DACE,0,0,0,0,0,0,0,0,0,1
212,DBACE,0,0,0,0,0,0,0,0,0,0
213,DBFE,0,0,0,0,0,0,0,0,0,0
214,DCABFE,0,0,0,0,0,0,0,0,0,0
215,DCE,0,0,0,0,0,0,0,0,0,0
216,DE,0,0,0,0,0,0,0,0,0,0
217,DFBACE,0,0,0,0,0,0,0,0,1,1
218,DFE,0,0,0,0,0,0,0,0,1,1
219,DABF,0,0,0,0,0,0,0,0,0,1
220,DACEF,0,0,0,0,0,0,0,0,0,1
221,DBACEF,0,0,0,0,0,0,0,0,0,0
222,DBF,0,0,0,0,0,0,0,0,0,0
223,DCABF,0,0,0,0,0,0,0,0,0,0
224,DCEF,0,0,0,0,0,0,0,0,0,0
225,DECABF,0,0,0,0,0,0,0,0,0,0
226,DEF,0,0,0,0,0,0,0,0,0,0
227,DF,0,0,0,0,0,0,0,0,1,1
228,ECA,0,0,0,0,0,1,1,1,1,1
229,ECDA,0,0,0,0,0,0,0,0,0,1
230,ECDBA,0,0,0,0,0,0,0,0,0,0
231,ECDFBA,0,0,0,0,0,0,0,0,1,1
232,EDA,0,0,0,0,0,0,0,0,0,1
233,EDBA,0,0,0,0,0,0,0,0,0,0
234,EDCA,0,0,0,0,0,0,0,0,0,0
235,EDFBA,0,0,0,0,0,0,0,0,1,1
236,EFBA,0,0,0,0,0,0,0,1,1,1
237,EFBDA,0,0,0,0,0,0,0,0,0,1
238,EFBDCA,0,0,0,0,0,0,0,0,0,0
239,EFDA,0,0,0,0,0,0,0,0,0,1
240,EFDBA,0,0,0,0,0,0,0,0,0,0
241,EFDCA,0,0,0,0,0,0,0,0,0,0
242,ECAB,0,0,0,0,0,1,1,1,1,1
243,ECADB,0,0,0,0,0,0,0,0,0,0
244,ECADFB,0,0,0,0,0,0,0,0,1,1
245,ECDAB,0,0,0,0,0,0,0,0,0,1
246,ECDB,0,0,0,0,0,0,0,0,0,0
247,ECDFB,0,0,0,0,0,0,0,0,1,1
248,EDAB,0,0,0,0,0,0,0,0,0,1
249,EDB,0,0,0,0,0,0,0,0,0,0
250,EDCAB,0,0,0,0,0,0,0,0,0,0
251,EDFB,0,0,0,0,0,0,0,0,1,1
252,EFB,0,0,0,0,0,0,0,1,1,1
253,EFDAB,0,0,0,0,0,0,0,0,0,1
254,EFDB,0,0,0,0,0,0,0,0,0,0
255,EFDCAB,0,0,0,0,0,0,0,0,0,0
256,EC,0,0,0,0,1,1,1,1,1,1
257,EDAC,0,0,0,0,0,0,0,0,0,1
258,EDBAC,0,0,0,0,0,0,0,0,0,0
259,EDC,0,0,0,0,0,0,0,0,0,0
260,EDFBAC,0,0,0,0,0,0,0,0,1,1
261,EFBAC,0,0,0,0,0,0,0,1,1,1
262,EFBADC,0,0,0,0,0,0,0,0,0,0
